train,dev
62.80637109517731,62.802748676354625
72.00485922945148,71.8992903007773
76.92648991852249,76.30674777514926
79.194288507258,78.8526529232849
81.94302743281783,81.53373887574631
82.68674104198203,82.11670609440127
83.63296208946866,82.70530584656979
84.52888251958639,83.61214374225527
85.47296816350548,84.62318350794187
86.58278485097256,85.6285907401149
86.71577303981816,85.54691900416807
87.7482406647274,86.50163343471894
88.37106670526211,87.13247718823926
88.2587207509028,86.92125718148023
88.86731076765386,87.50140813337839
88.84441449606848,87.55210093500057
89.46700326954013,88.08437535203335
89.87617031978854,88.56314070068717
90.22957961021767,88.74901430663512
90.02469950126464,88.57440576771432
90.46649077268391,88.99966204798919
90.65310131778126,89.0869663174496
90.8801658971305,89.27847245691112
91.05989569739909,89.31226765799256
91.13831246174068,89.26439112312718
91.53680249415137,89.76287033907852
91.67572235957348,89.93747887799933
91.27865592954117,89.43055086177763
91.74203850369899,89.85862340880928
91.87763663023826,90.13180128421764
91.94288507258,89.85017460853892
92.19533722767673,90.1853103525966
92.12783474823591,90.05576208178438
92.3215633052251,90.15433141827194
92.6741421609335,90.52607863016785
92.54720428219595,90.38526529232848
92.5984539678171,90.2951447561113
92.82884028604917,90.54579249746536
92.64804278399681,90.38808155908528
93.13455889680306,90.92880477638842
92.90452847916558,90.64436183395291
93.34620111705333,90.95133491044271
93.29874770444117,90.89219330855019
93.36150484262076,90.89219330855019
93.35213279362985,90.6922383688183
93.35059055771995,90.74574743719725
93.72155761081558,91.04708798017349
93.63792097108663,90.99357891179453
93.72333711378853,90.92035597611806
93.66769798750077,90.85558184071195
94.00010914284901,91.32308212233863
93.75252096254502,90.96823251098344
94.09299919803733,91.1738199842289
93.93153896162443,91.04427171341669
93.89737250454367,91.03019037963276
94.3331134658549,91.53148586234089
94.27450850127887,91.3512447899065
94.30096377881016,91.47234426044835
94.24413831720709,91.10341331530923
94.45056066207002,91.37940745747437
94.47642277194365,91.40475385828546
94.49386190107862,91.41320265855582
94.47144016361936,91.38503999098795
94.61427493558199,91.44699785963726
94.57785444140215,91.42446772558297
94.56563518765452,91.36532612369044
94.7359929389322,91.52022079531373
94.4567296057096,91.16818745071534
94.81073206379637,91.59625999774698
94.84039044667897,91.58217866396305
94.95676994111031,91.69201306747775
94.99093639819108,91.73707333558635
94.95854944408327,91.65540159963952
94.85949044525537,91.47516052720513
94.97029416370478,91.61879013180129
95.03933887905549,91.56528106342233
95.21206930096378,91.74270586909992
95.16295501891018,91.58217866396305
95.21159476683766,91.69482933423454
95.29428233831436,91.77368480342459
95.24872706220668,91.61315759828771
95.27067426553981,91.77368480342459
95.40852642917815,91.90886560775037
95.38598605818737,91.79339867072208
95.55349660470833,91.98490481018362
95.53676927676254,91.9032330742368
95.44530282395259,91.62160639855807
95.60178045204121,92.00461867748113
95.58956119829358,91.80184747099246
95.57698604395135,91.71172693477526
95.64935249818491,92.0750253464008
95.37839351216942,91.60189253126056
95.69051833362596,91.78776613720852
95.79728851200333,92.01588374450829
95.73097236787784,91.95110960910218
95.63618417618503,91.69764560099132
95.69312827131964,91.85254027261462
95.73536180854447,91.84972400585784
95.84058975101195,91.9877210769404
95.89112763544391,92.09755548045511
95.8314549690841,92.02996507829222
95.90061831796633,92.13135068153656
95.87855248110168,92.0778416131576
95.99920278266812,92.00461867748113
95.94095371868669,91.9032330742368
95.86858726445313,91.75397093612708
96.09031333488348,92.00180241072434
95.9968301120375,91.9905373436972
95.92885309847058,91.73425706882956
95.94047918456056,91.73144080207277
96.0444021581812,92.02996507829222
96.030640
